comunidad_0.8,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional
463,0.0,5,0,4148552.0,4,-723211.4,0,21.0,4,1499.0,4,SANTIAGO PONIENTE,4
454,1.0000486964045527,5,5,0.0,0,-42084752.8,0,29.0,0,670.0,0,SANTIAGO ORIENTE,5
456,0.16030496679591302,5,0,0.0,4,-54401.4,0,14.0,4,2346.0,4,5TA UNIDAD REGIONAL VALPARAISO,4
462,0.02413833991077068,5,0,195606.0,4,232815.4,0,15.0,4,2996.0,4,SANTIAGO CENTRO,3
460,0.024059247640982478,5,0,6553221.5,3,136280.4,0,15.0,4,6638.0,4,SANTIAGO PONIENTE,3
458,0.03017492598971802,5,0,0.0,3,628545.8,0,9.0,4,,5,19NA UNIDAD REGIONAL DE LOS RIOS,4
457,0.021857769516222918,5,0,188284.0,4,431070.8,0,54.0,4,1354.0,4,SANTIAGO PONIENTE,3
477,2.749546902156542e-05,4,0,0.0,1,4219782.0,0,6.0,3,3950.0,3,6TA UNIDAD REGIONAL RANCAGUA,4
473,2.40543070850238e-05,4,0,283915.0,3,-54411.0,0,17.0,3,,4,SANTIAGO CENTRO,2
486,0.0,4,0,1809776.3333333333,1,5498706.5,0,18.0,1,1448.3333333333333,1,11RA UNIDAD REGIONAL COYHAIQUE,1
472,0.09128354243048822,4,0,16451811.0,3,3272998.0,0,11.0,3,1271.5,2,7MA UNIDAD REGIONAL MAULE,4
466,0.01565090273944455,4,0,553124.0,3,3140898.5,0,279.0,3,1261.0,3,3RA UNIDAD REGIONAL ATACAMA,2
465,0.025839188174020825,4,0,98559.0,3,777411.0,0,22.0,3,1952.0,3,8VA UNIDAD REGIONAL BIO BIO,4
481,0.0007464191401756999,4,0,2388764.0,3,-289863.75,0,29.0,3,,4,SANTIAGO PONIENTE,3
471,0.0,4,0,5.25,0,-1335836.0,0,7.75,0,1581.0,0,SANTIAGO PONIENTE,3
479,0.008204746586907775,4,0,497877.0,3,61295.25,0,9.0,3,588.0,3,1RA UNIDAD REGIONAL IQUIQUE,3
476,0.3333333333333333,4,1,204.66666666666666,1,1394356.5,0,17.5,0,1298.0,3,10MA UNIDAD REGIONAL LOS LAGOS,4
470,0.0253795947453154,4,0,15282133.333333334,1,-14027320.25,0,86.0,1,2964.5,2,7MA UNIDAD REGIONAL MAULE,2
487,0.025359189117490726,4,0,115412.0,2,82114.75,0,12.0,3,1052.0,3,2DA UNIDAD REGIONAL ANTOFAGASTA,4
483,0.024872808217654273,4,0,518023.5,2,7352.75,0,5.0,3,566.0,3,1RA UNIDAD REGIONAL IQUIQUE,2
474,0.0229346656023904,4,0,3556689.0,3,-735153.5,0,100.0,3,1249.0,3,2DA UNIDAD REGIONAL ANTOFAGASTA,1
482,0.01714239725728195,4,0,3531001.0,3,7110969.75,0,6.0,3,3819.5,2,6TA UNIDAD REGIONAL RANCAGUA,4
478,0.02115034539996208,4,0,133690.0,3,19217.5,0,5.0,3,1155.0,3,7MA UNIDAD REGIONAL MAULE,3
