,comunidad_08,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional,comunidad,perct_emision_extra,perct_recepcion_extra,emision_extragrupo,recepcion_extragrupo,tasa_emision_extra_intra
476,477,2.749546902156542e-05,4,0,0.0,1,4219782.0,0,6.0,3,3950.0,3,6TA UNIDAD REGIONAL RANCAGUA,4,477.0,,0.0013534675231459132,,58782.0,
477,478,0.02115034539996208,4,0,133690.0,3,19217.5,0,5.0,3,1155.0,3,7MA UNIDAD REGIONAL MAULE,4,478.0,,0.2945607523980485,,26747.0,
478,479,0.008204746586907775,4,0,497877.0,3,61295.25,0,9.0,3,588.0,3,1RA UNIDAD REGIONAL IQUIQUE,4,479.0,0.7431192660550459,0.676477742641693,153900.0,111240.0,2.892857142857143
479,480,0.022410053008832573,4,0,0.0,2,1555889.5,0,16.0,3,1130.0,3,SANTIAGO PONIENTE,4,480.0,0.3388866851778395,0.6243561167279758,486970.0,1578991.0,0.5126
480,481,0.0007464191401756999,4,0,2388764.0,3,-289863.75,0,29.0,3,,4,SANTIAGO PONIENTE,4,481.0,0.2572286278030558,0.0029168613376222155,404269.0,3415.0,0.346309291703359
481,482,0.01714239725728195,4,0,3531001.0,3,7110969.75,0,6.0,3,3819.5,2,6TA UNIDAD REGIONAL RANCAGUA,4,482.0,,0.5239148719269137,,27965834.0,
482,483,0.024872808217654273,4,0,518023.5,2,7352.75,0,5.0,3,566.0,3,1RA UNIDAD REGIONAL IQUIQUE,4,483.0,0.03815322334495333,0.05920895632319364,38000.0,60291.0,0.03966663326318602
483,484,0.9943480449723723,4,2,0.0,3,-29885673.0,0,24.5,2,693.0,2,SANTIAGO CENTRO,4,484.0,0.9999084930678563,0.013703570140641904,119542844.0,152.0,10927.13382084095
484,485,0.09015344901457632,4,0,1400906.0,3,14220.0,0,16.0,3,631.0,3,2DA UNIDAD REGIONAL ANTOFAGASTA,4,485.0,,0.034226197567457234,,43094.0,
485,486,0.0,4,0,1809776.3333333333,1,5498706.5,0,18.0,1,1448.3333333333333,1,11RA UNIDAD REGIONAL COYHAIQUE,4,486.0,,,,,
486,487,0.025359189117490726,4,0,115412.0,2,82114.75,0,12.0,3,1052.0,3,2DA UNIDAD REGIONAL ANTOFAGASTA,4,487.0,0.7918396432678136,0.8682480799917084,440034.0,762314.0,3.8039886926528177
487,488,0.75,4,3,203405.75,0,-43481895.25,0,35.5,0,1451.25,0,6TA UNIDAD REGIONAL RANCAGUA,4,,,,,,
488,489,0.022880669367237132,3,0,0.0,2,1272373.6666666667,0,5.0,2,1058.0,2,8VA UNIDAD REGIONAL BIO BIO,3,489.0,,0.7997434026323641,,2283936.0,
489,490,0.013774756501024067,3,0,5394031.0,2,-2890806.0,0,563.0,2,1239.0,2,SANTIAGO SUR,3,490.0,0.9951764376595822,0.981275853488481,4703997.0,1194879.0,206.31565789473683
490,491,0.019673044511983498,3,0,10272911.0,2,-2255501.3333333335,0,43.0,2,665.0,2,1RA UNIDAD REGIONAL IQUIQUE,3,491.0,0.9974004345889227,0.9788282868406284,7034767.0,847679.0,383.67968366512133
491,492,0.0103523385522003,3,0,5617135.0,1,-877411.0,0,47.5,1,1137.0,2,8VA UNIDAD REGIONAL BIO BIO,3,492.0,0.7383215932853233,0.3929335170586853,6414064.0,1471426.0,2.82148459460149
492,493,0.013273630808249665,3,0,246680.0,2,31993.0,0,24.0,2,1164.0,2,7MA UNIDAD REGIONAL MAULE,3,493.0,0.8735280065203339,0.8821809342569613,590539.0,640189.0,6.906888888888889
493,494,0.009119888267700634,3,0,398246.0,1,13964561.0,0,19.5,1,2402.5,1,8VA UNIDAD REGIONAL BIO BIO,3,494.0,,0.06947092875527891,,6887161.0,
494,495,0.062086405757250364,3,0,0.0,2,83733.0,0,3.0,2,1038.0,2,9NA UNIDAD REGIONAL TEMUCO,3,495.0,0.2279290887279513,0.7415165838003474,20520.0,199399.0,0.29521781665419805
495,496,0.025039917676045503,3,0,9216169.5,1,-8322954.0,0,59.5,1,1911.5,1,19NA UNIDAD REGIONAL DE LOS RIOS,3,496.0,0.5303712380791926,0.3370399067836209,12025420.0,5413385.0,1.1293414736992367
496,497,0.0419476310608404,3,0,0.0,2,315011.3333333333,0,3.0,2,1092.0,2,SANTIAGO ORIENTE,3,497.0,0.2192843898083923,0.9864502133543112,3193.0,827612.0,0.28087614356087265
497,498,0.0242460273350262,3,0,864208.0,2,89947.33333333333,0,4.0,2,603.0,2,SANTIAGO CENTRO,3,498.0,0.37905604719764013,0.3537066862015287,146490.0,131332.0,0.6104513064133017
498,499,0.18257464725967912,3,0,12567437.0,2,-2536101.6666666665,0,32.0,2,1177.0,2,SANTIAGO SUR,3,499.0,0.9716544482419878,0.8228741331525882,5536043.0,750281.0,34.278904024767805
499,500,0.0320048529765393,3,0,4933934.0,2,-2228663.3333333335,0,52.0,2,2033.0,2,SANTIAGO ORIENTE,3,500.0,0.9782196861729963,0.9482347350728099,5920120.0,2414547.0,44.91302071874549
500,501,0.0369375375877567,3,0,0.0,2,8388130.666666667,0,117.0,2,7430.0,2,SANTIAGO ORIENTE,3,501.0,,0.991202790705055,,4497432.0,
501,502,0.014633590711344601,3,0,5344696.0,2,397184.6666666667,0,90.0,2,,3,5TA UNIDAD REGIONAL VALPARAISO,3,502.0,0.18951533525824676,0.20480689995912785,422630.0,465514.0,0.23382963737954562
502,503,0.6666666666666666,3,2,0.0,0,-21440690.0,0,9.0,0,1696.3333333333333,0,7MA UNIDAD REGIONAL MAULE,3,,,,,,
503,504,0.025266056782411162,3,0,4327734.666666667,0,-3797448.3333333335,0,23.0,0,1704.0,2,4TA UNIDAD REGIONAL COQUIMBO,3,504.0,0.9112192314904017,0.015592962734611358,2818638.0,4350.0,10.26370065034848
504,505,0.019699365008956266,3,0,0.0,2,2347250.0,0,31.0,2,1871.0,2,8VA UNIDAD REGIONAL BIO BIO,3,505.0,0.945392133611274,0.9894967753025847,757382.0,4121449.0,17.312379994514036
505,506,0.0011815439985309,3,0,0.0,2,386530.6666666667,0,2.0,2,12439.0,2,5TA UNIDAD REGIONAL VALPARAISO,3,506.0,,0.14310987663988722,,89548.0,
506,507,1.0,3,3,26891.0,2,-16805562.333333332,0,17.666666666666668,0,1491.0,2,10MA UNIDAD REGIONAL LOS LAGOS,3,,,,,,
507,508,0.023906558082991535,3,0,0.0,2,8911768.0,0,17.0,2,2020.0,1,SANTIAGO PONIENTE,3,508.0,0.43568464730290457,0.661636787518902,4987500.0,12631910.0,0.7720588235294118
508,509,0.022161509950277564,3,0,1452517.0,2,117836.66666666667,0,21.0,2,930.0,2,SANTIAGO PONIENTE,3,509.0,0.7034460263356378,0.7038664421788262,752657.0,754176.0,2.3720674440592497
509,510,0.0,3,0,0.0,2,734997.0,0,7.0,2,2480.0,2,2DA UNIDAD REGIONAL ANTOFAGASTA,3,510.0,,,,,
510,511,0.0020041437493935666,3,0,582929.3333333334,0,-8850133.666666666,0,17.0,0,1427.6666666666667,0,10MA UNIDAD REGIONAL LOS LAGOS,3,511.0,,0.032216761015018164,,482594.0,
511,512,1.0,3,3,,3,-24447714.666666668,0,13.0,0,1626.5,1,8VA UNIDAD REGIONAL BIO BIO,3,,,,,,
512,513,0.025221828536408832,3,0,848122.0,2,205831.0,0,34.0,2,2502.0,2,5TA UNIDAD REGIONAL VALPARAISO,3,513.0,0.9366750070315942,0.8263710888917617,1152262.0,370758.0,14.791553273427471
513,514,2.501232914433196e-05,3,0,6986771.333333333,0,-2359985.0,0,98.0,2,3868.0,0,SANTIAGO CENTRO,3,514.0,,0.0028442518513216416,,12954.0,
514,515,0.020799812145712932,3,0,180891.0,2,250051.33333333334,0,5.0,2,840.0,2,5TA UNIDAD REGIONAL VALPARAISO,3,515.0,0.16414889415481831,0.8036378397185603,39900.0,831508.0,0.1963853286870238
515,516,0.05191045334400499,3,0,0.0,2,490415.6666666667,0,2.0,2,988.0,2,7MA UNIDAD REGIONAL MAULE,3,516.0,,0.229753379234117,,19955.0,
516,517,0.0256727658054148,3,0,1510182.0,2,-732697.6666666666,0,51.0,2,4779.0,2,1RA UNIDAD REGIONAL IQUIQUE,3,517.0,0.8878504672897196,0.7904223953892927,722000.0,343961.0,7.916666666666667
517,518,0.0176010204320115,3,0,2746.0,2,14286.666666666666,0,5.0,2,608.0,2,10MA UNIDAD REGIONAL LOS LAGOS,3,518.0,0.9579747901371016,0.9690659745089684,72808.0,100058.0,22.795241077019412
518,519,0.5579907115672492,3,1,13224888.666666666,0,-30053120.333333332,0,58.0,0,2422.3333333333335,0,1RA UNIDAD REGIONAL IQUIQUE,3,519.0,0.6160278917791643,0.0009940789135992614,21795174.0,13518.0,1.604355833640044
519,520,0.02478632048749003,3,0,0.0,2,2154778.0,0,15.0,2,1112.0,2,SANTIAGO ORIENTE,3,520.0,0.8702997526309098,0.8619211133518649,1019933.0,948820.0,6.7100855263157895
520,521,0.022026912753041267,3,0,207635.0,2,185003.0,0,4.0,2,1191.0,2,9NA UNIDAD REGIONAL TEMUCO,3,521.0,0.9339121346489163,0.975469183317585,180500.0,507919.0,14.131370860408675
521,522,0.056875404789025565,3,0,14430344.0,2,-104840.0,0,11.0,2,1806.0,2,SANTIAGO CENTRO,3,522.0,0.9697549319765204,0.5708747205478677,486207.0,20173.0,32.06324188868373
522,523,1.0000116242883608,3,3,85817.66666666667,0,-13751831.333333334,0,17.333333333333332,0,466.3333333333333,0,Sin Moda,3,523.0,0.49847309550009505,,40576844.0,,0.9939109767144896
523,524,0.023590017263000734,3,0,34011.0,2,159665.66666666666,0,3.0,2,868.0,2,3RA UNIDAD REGIONAL ATACAMA,3,524.0,,0.5163750109007553,,497391.0,
524,525,0.9999949137369791,3,1,106804.0,0,-24693796.333333332,0,13.0,0,1989.6666666666667,0,11RA UNIDAD REGIONAL COYHAIQUE,3,,,,,,
525,526,0.013969870360665666,3,0,5652859.0,2,5094175.0,0,50.0,2,2386.0,2,SANTIAGO NORTE,3,526.0,0.9858508681503042,0.9565289866677997,926687.0,292651.0,69.67571428571429
526,527,0.0,3,0,163188.0,2,9242.0,0,4.0,2,1718.0,2,9NA UNIDAD REGIONAL TEMUCO,3,527.0,,,,,
527,528,0.5,3,1,0.0,0,-8304161.666666667,0,5.0,0,1673.5,1,7MA UNIDAD REGIONAL MAULE,3,,,,,,
528,529,0.0,3,0,47500.0,2,21252.666666666668,0,2.0,2,1305.0,2,5TA UNIDAD REGIONAL VALPARAISO,3,529.0,,,,,
529,530,0.025849293816761137,3,0,12169067.0,2,-2749485.6666666665,0,23.0,2,3172.0,2,8VA UNIDAD REGIONAL BIO BIO,3,530.0,0.38095238095238093,0.3559388472861291,1383200.0,1242186.0,0.6153846153846154
530,531,0.0,3,0,3129397.0,2,-525108.0,0,21.0,2,7800.0,2,SANTIAGO CENTRO,3,531.0,0.49087823815220843,,603147.0,,0.9641666786558668
531,532,0.012343610435824534,3,0,0.0,1,99970.66666666667,0,4.0,2,1198.0,2,7MA UNIDAD REGIONAL MAULE,3,532.0,,0.1846200949124866,,10854.0,
532,533,0.0167366839360817,3,0,45194.0,2,42438.0,0,18.0,2,1291.0,2,6TA UNIDAD REGIONAL RANCAGUA,3,533.0,0.048000801683535425,0.5084952712071357,4790.0,98284.0,0.05042105263157895
533,534,0.0,3,0,0.0,2,652252.6666666666,0,2.5,1,6424.0,1,5TA UNIDAD REGIONAL VALPARAISO,3,534.0,,,,,
534,535,1.0,3,3,,3,-12085064.666666666,0,65.0,0,1550.0,0,8VA UNIDAD REGIONAL BIO BIO,3,,,,,,
535,536,0.046738424630390796,3,0,89092407.0,2,-31934809.0,0,59.0,2,3360.0,2,SANTIAGO PONIENTE,3,536.0,,0.08721132658468678,,295570.0,
536,537,1.0,3,3,137492.0,0,-26469029.666666668,0,54.0,0,1784.6666666666667,0,SANTIAGO NORTE,3,,,,,,
537,538,0.0,3,0,16081808.0,2,-87246.0,0,32.0,2,2306.0,2,19NA UNIDAD REGIONAL DE LOS RIOS,3,538.0,0.8951868146299823,,136328.0,,8.540784362861796
538,539,0.0,3,0,1266.6666666666667,0,0.0,0,2.0,0,1216.0,0,SANTIAGO CENTRO,3,,,,,,
539,540,0.6666666666666666,3,2,8867677.333333334,0,-13009639.666666666,0,24.666666666666668,0,1813.6666666666667,0,SANTIAGO NORTE,3,,,,,,
540,541,0.0,3,0,2688067.0,2,-119615.0,0,82.0,2,,3,9NA UNIDAD REGIONAL TEMUCO,3,541.0,,,,,
541,542,0.0009391112702133,2,0,870345.0,0,-2187581.0,0,5.5,0,4046.0,1,7MA UNIDAD REGIONAL MAULE,2,542.0,0.4327390599675851,0.15861765308730386,2029200.0,501464.0,0.7628571428571429
542,543,0.09852515696970715,2,0,694796.0,0,-16415.0,0,5.0,0,741.0,1,SANTIAGO PONIENTE,2,543.0,0.5498762778374866,0.5666818210023896,418000.0,447482.0,1.2216114165139653
543,544,0.005337393559846949,2,0,5910.0,0,-1479559.0,0,9.5,0,1603.5,0,SANTIAGO CENTRO,2,544.0,,0.05436615158571055,,87324.0,
544,545,1.0,2,1,,2,-8507060.0,0,39.0,1,862.0,0,SANTIAGO CENTRO,2,,,,,,
545,546,0.0,2,0,19160.0,1,481341.0,0,24.0,1,,2,3RA UNIDAD REGIONAL ATACAMA,2,546.0,0.68,,339286.0,,2.125
546,547,0.0,2,0,2005458.0,1,-2409553.0,0,97.0,1,1298.0,1,8VA UNIDAD REGIONAL BIO BIO,2,547.0,0.19718621037930137,,24990.0,,0.2456188632141769
547,548,0.0,2,0,0.0,1,1995812.5,0,2.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,2,548.0,,,,,
548,549,0.0,2,0,3406461.0,1,-1110079.5,0,25.0,1,5062.0,1,19NA UNIDAD REGIONAL DE LOS RIOS,2,549.0,0.4852941176470588,,627000.0,,0.9428571428571428
549,550,0.0,2,0,2015.0,1,46549.0,0,2.0,1,1170.0,1,12MA UNIDAD REGIONAL MAGALLANES,2,550.0,,,,,
550,551,0.0,2,0,317349.0,1,23804.5,0,2.0,1,884.0,1,SANTIAGO CENTRO,2,551.0,0.9999595935107178,,49495.0,,24747.5
551,552,0.0,2,0,0.0,1,114234.5,0,13.0,1,4011.0,0,9NA UNIDAD REGIONAL TEMUCO,2,552.0,0.5697847901042369,,114190.0,,1.3244180517055406
552,553,0.0,2,0,0.0,1,371243.5,0,1.0,1,975.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2,553.0,,,,,
553,554,2.316729216773697e-05,2,0,0.0,1,2815613.0,0,1.0,1,1102.0,1,6TA UNIDAD REGIONAL RANCAGUA,2,554.0,,0.0023947998631542937,,665.0,
554,555,0.00064330176394295,2,0,666727.5,0,24004.0,0,2.0,1,618.5,0,5TA UNIDAD REGIONAL VALPARAISO,2,555.0,,0.03873174667204518,,48008.0,
555,556,0.0,2,0,3535893.0,1,-1386018.5,0,16.0,1,,2,SANTIAGO ORIENTE,2,556.0,0.9645217459205313,,2272773.0,,27.18627990430622
556,557,0.0,2,0,0.0,1,-1161850.0,0,6.5,0,1257.5,0,9NA UNIDAD REGIONAL TEMUCO,2,,,,,,
557,558,0.0019605893730734,2,0,206057.0,1,-139371.5,0,13.0,1,2523.0,1,8VA UNIDAD REGIONAL BIO BIO,2,558.0,0.8208955223880597,0.18037206794284175,209000.0,10035.0,4.583333333333333
558,559,0.00107311047232075,2,0,0.0,1,2137902.0,0,1.0,1,1659.0,1,9NA UNIDAD REGIONAL TEMUCO,2,559.0,,0.10435426001925205,,186029.0,
559,560,0.0,2,0,1024521.0,1,209703.0,0,1.0,1,,2,9NA UNIDAD REGIONAL TEMUCO,2,560.0,,,,,
560,561,3.091553089528177e-05,2,0,51898.0,0,9822.5,0,2.0,1,,2,10MA UNIDAD REGIONAL LOS LAGOS,2,561.0,,0.0029067025572005385,,6749.0,
561,562,0.0,2,0,5084135.0,0,-7218648.0,0,51.0,1,2153.5,0,7MA UNIDAD REGIONAL MAULE,2,562.0,0.7079609835874072,,921196.0,,2.4242
562,563,1.0,2,1,,2,-20916046.0,0,13.5,0,977.0,0,SANTIAGO CENTRO,2,,,,,,
563,564,0.5,2,1,0.0,1,-17330774.0,0,32.5,0,893.0,0,SANTIAGO CENTRO,2,,,,,,
564,565,1.0,2,2,,2,-23476047.5,0,76.0,1,1546.5,0,8VA UNIDAD REGIONAL BIO BIO,2,,,,,,
565,566,0.0,2,0,2395.0,1,5588.0,0,1.0,1,418.0,1,19NA UNIDAD REGIONAL DE LOS RIOS,2,566.0,,,,,
566,567,0.0,2,0,2021.0,0,-7437510.0,0,30.0,0,1573.0,0,SANTIAGO CENTRO,2,,,,,,
567,568,0.0,2,0,64600.0,1,-30405.0,0,3.0,1,2045.0,1,9NA UNIDAD REGIONAL TEMUCO,2,568.0,0.9411764705882353,,60800.0,,16.0
568,569,0.0,2,0,3671.0,0,-329068.0,0,2.5,0,591.0,0,SANTIAGO SUR,2,569.0,0.9854951064258536,,498832.0,,67.94225006810133
569,570,0.0,2,0,4750.0,1,2072.0,0,5.0,1,1318.0,1,6TA UNIDAD REGIONAL RANCAGUA,2,570.0,,,,,
570,571,1.0,2,2,0.0,0,-2500121.0,0,4.5,0,456.0,0,Sin Moda,2,571.0,0.6008866253917591,,5000242.0,,1.505553718868914
571,572,0.0190563151198404,2,0,798589.5,0,365160.0,0,7.0,0,1467.5,0,5TA UNIDAD REGIONAL VALPARAISO,2,572.0,0.11388429355774533,0.17075415791042792,380000.0,608833.0,0.12852079331150734
572,573,0.0,2,0,7434700.0,1,-95000.0,0,39.0,1,5827.0,0,SANTIAGO ORIENTE,2,573.0,,,,,
573,574,0.0,2,0,748969.0,1,-488960.0,0,78.0,1,2220.5,0,SANTIAGO CENTRO,2,574.0,0.9996283120055223,,188260.0,,2689.4285714285716
574,575,0.0,2,0,0.0,1,21303.0,0,1.0,1,2486.5,0,SANTIAGO CENTRO,2,575.0,,,,,
575,576,0.0,2,0,2901082.0,0,-1037400.0,0,2.0,0,540.0,0,10MA UNIDAD REGIONAL LOS LAGOS,2,576.0,0.9646643109540636,,2074800.0,,27.3
576,577,0.0,2,0,793092.0,0,0.0,0,36.0,1,6525.5,0,SANTIAGO ORIENTE,2,577.0,,,,,
577,578,1.0,2,2,2307216.5,0,-7875643.0,0,21.0,0,1764.0,0,SANTIAGO ORIENTE,2,,,,,,
578,579,0.0,2,0,0.0,0,386748.0,0,1.0,1,3824.5,0,9NA UNIDAD REGIONAL TEMUCO,2,579.0,,,,,
579,580,0.00012214406381475,2,0,936149.5,0,-1864329.0,0,63.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,2,580.0,0.9528856564149585,0.010183457711442787,1287622.0,655.0,20.22495876855415
580,581,0.0,2,0,0.0,0,2319.0,0,1.0,1,977.5,0,SANTIAGO PONIENTE,2,581.0,,,,,
581,582,0.0,2,0,127378.0,1,-93464.0,0,17.0,1,2233.0,1,4TA UNIDAD REGIONAL COQUIMBO,2,582.0,0.3080714725816389,,47500.0,,0.4452359750667854
582,583,0.0,2,0,0.0,1,356927.5,0,10.0,1,1634.0,1,SANTIAGO ORIENTE,2,,,,,,
583,584,0.0,2,0,0.0,0,-2406951.5,0,7.0,1,4873.5,0,9NA UNIDAD REGIONAL TEMUCO,2,,,,,,
584,585,1.3195705912256936e-05,2,0,983211.0,0,76.0,0,1.0,1,457.0,1,9NA UNIDAD REGIONAL TEMUCO,2,585.0,,0.0010566562391379909,,152.0,
585,586,0.0,2,0,679401.0,1,-277831.5,0,10.0,1,1568.0,1,SANTIAGO CENTRO,2,586.0,0.8761195353374124,,39520.0,,7.0722977809591985
586,587,6.026840728625e-05,2,0,29850.5,0,91852.0,0,1.0,1,893.5,0,SANTIAGO PONIENTE,2,587.0,,0.005808973640655087,,3608.0,
587,588,0.0,2,0,10850691.0,0,0.0,0,3.0,1,2325.5,0,SANTIAGO ORIENTE,2,588.0,,,,,
588,589,0.0,2,0,0.0,1,794.5,0,1.0,1,3282.0,1,3RA UNIDAD REGIONAL ATACAMA,2,589.0,,,,,
589,590,0.0,2,0,8854024.0,1,-69714.0,0,10.0,1,640.0,1,21VA DIRECCION REGIONAL CHILLAN,2,590.0,0.6739103115605093,,139428.0,,2.066640974713189
590,591,0.0,2,0,363265.0,1,-114817.0,0,9.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,2,591.0,,,,,
591,592,0.0,2,0,,2,1665.5,0,1.0,1,665.0,1,SANTIAGO CENTRO,2,592.0,,,,,
592,593,0.0,2,0,215272.0,1,-204010.5,0,3.0,1,1651.0,1,6TA UNIDAD REGIONAL RANCAGUA,2,593.0,0.9999902535063011,,205200.0,,102600.0
593,594,0.0731896919328699,2,0,2446576.0,1,-1203424.5,0,46.0,1,1092.0,1,5TA UNIDAD REGIONAL VALPARAISO,2,594.0,0.994552551085059,0.8717300277118283,14983150.0,557732.0,182.57216664432718
594,595,0.0,2,0,51602.5,0,43927.5,0,10.0,1,,2,8VA UNIDAD REGIONAL BIO BIO,2,595.0,,,,,
595,596,0.0004638514621652,2,0,282150.0,1,-110338.5,0,3.0,1,2043.0,1,2DA UNIDAD REGIONAL ANTOFAGASTA,2,596.0,0.48811700182815354,0.0410958904109589,253650.0,11400.0,0.9535714285714286
596,597,0.0,2,0,10777.5,0,614034.5,0,1.0,1,1984.5,0,19NA UNIDAD REGIONAL DE LOS RIOS,2,597.0,,,,,
597,598,0.00207141299173635,2,0,52519.0,0,1148455.5,0,18.0,0,2550.0,0,SANTIAGO ORIENTE,2,598.0,,0.0029584613506139406,,105302.0,
598,599,0.0,2,0,0.0,1,2460330.0,0,197.0,1,2732.0,1,8VA UNIDAD REGIONAL BIO BIO,2,,,,,,
599,600,2.7583366918893167e-05,2,0,0.0,1,16795782.5,0,2.0,1,3752.0,1,SANTIAGO ORIENTE,2,600.0,,0.002427370875738626,,5215.0,
600,601,0.0,2,0,11400.0,1,0.0,0,1.0,1,599.5,0,4TA UNIDAD REGIONAL COQUIMBO,2,601.0,,,,,
601,602,0.0,2,0,89911.0,1,94256.5,0,1.0,1,,2,6TA UNIDAD REGIONAL RANCAGUA,2,602.0,,,,,
602,603,0.0,2,0,0.0,0,-683716.0,0,3.0,1,950.5,0,8VA UNIDAD REGIONAL BIO BIO,2,603.0,0.9959514170040485,,1402200.0,,246.0
603,604,0.0,2,0,32465.0,1,-7850.5,0,4.0,1,1087.0,1,SANTIAGO NORTE,2,,,,,,
604,605,0.0,2,0,4049909.0,0,-6869750.5,0,32.0,1,1041.0,0,SANTIAGO SUR,2,605.0,0.8590059922453296,,7408480.0,,6.0925
605,606,1.0,2,2,76470.0,0,-17373829.0,0,43.0,0,1788.5,0,SANTIAGO CENTRO,2,,,,,,
606,607,0.0,2,0,0.0,0,45015.5,0,3.0,1,6909.5,0,SANTIAGO CENTRO,2,607.0,0.10569816418977986,,2660.0,,0.11819070470096862
607,608,0.0,2,0,198284.0,0,1940.5,0,38.0,1,6773.5,0,2DA UNIDAD REGIONAL ANTOFAGASTA,2,608.0,,,,,
608,609,0.0,2,0,776381.5,0,-660790.0,0,71.5,0,1918.0,1,5TA UNIDAD REGIONAL VALPARAISO,2,609.0,,,,,
609,610,0.5,2,1,2282.5,0,-36021763.5,0,27.0,0,1765.0,0,SANTIAGO SUR,2,,,,,,
610,611,0.0,2,0,2864500.0,1,124812.5,0,56.0,1,2184.0,1,SANTIAGO PONIENTE,2,611.0,,,,,
611,612,0.0,2,0,590520.0,1,9232.5,0,2.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,2,612.0,,,,,
612,613,0.0,2,0,21783899.0,0,-16261286.0,0,3.0,1,3005.5,0,SANTIAGO ORIENTE,2,613.0,,,,,
613,614,0.0,2,0,37893.0,1,0.0,0,2.0,1,10150.5,0,5TA UNIDAD REGIONAL VALPARAISO,2,614.0,,,,,
614,615,0.0,2,0,488696.0,0,332926.0,0,17.0,1,,2,1RA UNIDAD REGIONAL IQUIQUE,2,615.0,0.02202015920740672,,6650.0,,0.022515964326586445
615,616,0.0,2,0,3495379.0,1,42403.5,0,35.0,1,3936.0,0,SANTIAGO CENTRO,2,616.0,,,,,
616,617,0.0,2,0,79832.0,1,232620.5,0,1.0,1,2912.0,1,7MA UNIDAD REGIONAL MAULE,2,617.0,,,,,
617,618,0.0,2,0,4272122.0,1,-3271918.0,0,4.0,1,,2,7MA UNIDAD REGIONAL MAULE,2,618.0,,,,,
618,619,0.0,2,0,256267095.0,0,-724486185.5,0,135.0,1,5533.0,0,SANTIAGO ORIENTE,2,619.0,0.1401875342822389,,226696.0,,0.16304431474509043
619,620,0.0,2,0,4662184.0,1,1898403.0,0,1.0,1,2814.0,1,SANTIAGO ORIENTE,2,620.0,,,,,
620,621,0.00112703869728605,2,0,0.0,1,421236.0,0,3.0,1,1856.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2,621.0,,0.0758479809976247,,7983.0,
621,622,0.5,2,1,10279.0,1,-9468514.5,0,44.5,0,3785.0,0,SANTIAGO CENTRO,2,,,,,,
622,623,0.00115758710459195,2,0,0.0,0,369935.5,0,3.0,1,2480.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2,623.0,,0.10512146716160094,,11441.0,
623,624,0.0,2,0,0.0,1,-14820.0,0,3.0,1,,2,7MA UNIDAD REGIONAL MAULE,2,624.0,,,,,
624,625,0.00122566781935905,2,0,47471.0,0,42803.0,0,9.0,1,1661.0,0,SANTIAGO CENTRO,2,625.0,0.7480314960629921,0.09050112191473449,18050.0,605.0,2.96875
625,626,0.4516541363395188,2,0,7944103.0,1,886116.5,0,137.0,1,,2,SANTIAGO SUR,2,626.0,,0.14630140451190918,,698720.0,
626,627,1.30843200299662e-05,2,0,14384426.5,0,57680.5,0,38.0,1,5678.0,0,SANTIAGO ORIENTE,2,627.0,,0.0011733743369809753,,10134.0,
627,628,0.0,2,0,11803750.0,0,-9728000.0,0,42.0,0,855.0,1,SANTIAGO CENTRO,2,628.0,0.7240757439134355,,15257000.0,,2.6241830065359477
628,629,0.0,2,0,109215.0,1,64144.0,0,48.0,1,1300.0,0,1RA UNIDAD REGIONAL IQUIQUE,2,,,,,,
629,630,0.0,2,0,4317205.0,1,-2861218.5,0,13.0,1,,2,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,2,630.0,,,,,
630,631,0.0,2,0,21761794.0,1,-14246757.5,0,29.0,1,7344.0,1,7MA UNIDAD REGIONAL MAULE,2,631.0,0.9996096404829938,,4865408.0,,2560.741052631579
631,632,0.0,2,0,107374.5,0,-92285.0,0,16.0,1,,2,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,2,632.0,,,,,
632,633,0.0,2,0,136800.0,1,1617475.0,0,1.0,1,,2,8VA UNIDAD REGIONAL BIO BIO,2,633.0,,,,,
633,634,0.0,2,0,7799449.0,1,-9547314.5,0,11.0,1,1954.0,1,8VA UNIDAD REGIONAL BIO BIO,2,634.0,,,,,
634,635,0.0,2,0,26017471.0,1,-26042950.5,0,51.0,1,1845.5,0,10MA UNIDAD REGIONAL LOS LAGOS,2,,,,,,
635,636,0.0,2,0,188783.0,1,19394.5,0,1.0,1,7650.0,1,7MA UNIDAD REGIONAL MAULE,2,636.0,,,,,
636,637,0.0,2,0,0.0,1,129891.5,0,2.0,1,884.0,1,SANTIAGO CENTRO,2,637.0,,,,,
637,638,0.0,2,0,190108.0,1,-137248.0,0,2.0,1,2572.0,1,5TA UNIDAD REGIONAL VALPARAISO,2,638.0,0.6322010359496166,,274496.0,,1.7188766085350198
