,comunidad_08,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional,comunidad,perct_emision_extra,perct_recepcion_extra,emision_extragrupo,recepcion_extragrupo,tasa_emision_extra_intra
381,382,0.2351707908331863,143,4,1728607.2173913044,97,-1892013.923076923,0,189.17241379310346,114,1621.2142857142858,115,SANTIAGO SUR,143,382.0,0.6777105470544285,0.41449368494004146,328852909.0,110710770.0,2.1028008855408635
382,383,0.07074755682925672,138,0,8561087.291666666,114,939832.8478260869,0,307.14285714285717,124,8737.25,130,SANTIAGO PONIENTE,138,383.0,0.2790366680501028,0.41250385800201084,57939844.0,105111980.0,0.387033092647622
383,384,0.0653018545585586,136,0,151050438.08695653,113,33908401.6617647,0,121.88888888888889,127,2727.4444444444443,127,SANTIAGO SUR,136,384.0,0.004793264653237297,0.25882239543048047,21201510.0,1537192494.0,0.004816350696789815
384,385,0.03956655218760552,131,0,66274173.14814815,104,-23631419.977099236,0,79.07692307692308,118,3317.157894736842,112,SANTIAGO NORTE,131,385.0,0.5082959617347617,0.09399921336407287,2202226246.0,221026677.0,1.033743720161544
385,386,0.02526599095443819,126,0,9317179.126436781,39,-1268415.5952380951,0,1019.3809523809524,105,1140.1052631578948,88,4TA UNIDAD REGIONAL COQUIMBO,126,386.0,0.10247192662868607,0.08230321327986377,96934567.0,76144650.0,0.11417127738832597
386,387,0.09411624233625529,126,0,1744465.111111111,99,-20572.071428571428,0,72.6875,110,2298.3,116,6TA UNIDAD REGIONAL RANCAGUA,126,387.0,0.9232452249226378,0.9197250342451576,75478763.0,71893725.0,12.028505379529628
387,388,0.4099960869958313,121,0,67295769.0,86,-14892289.05785124,0,141.58333333333334,109,3492.5416666666665,97,SANTIAGO CENTRO,121,388.0,0.08312437249416431,0.1939812098031608,304422631.0,808115582.0,0.09066046691663776
388,389,0.031046436287752888,113,0,23399938.913043477,90,892985.4778761062,0,59.42857142857143,99,5623.448275862069,55,SANTIAGO PONIENTE,113,389.0,0.06658125401878152,0.3254113001546494,69103862.0,467326529.0,0.07133053016713381
389,390,0.04014607768370795,100,0,2792148.878787879,67,992894.67,0,108.0,85,2622.5333333333333,85,SANTIAGO SUR,100,390.0,0.6687222785695545,0.6948072260059488,105294955.0,118752861.0,2.0186153046514423
390,391,0.050358667980575776,98,0,81827307.27659574,51,32390861.0,0,212.69565217391303,75,3425.7272727272725,65,10MA UNIDAD REGIONAL LOS LAGOS,98,391.0,0.18182223205129844,0.38021556642524545,913176637.0,2520836685.0,0.22222827260040925
391,392,0.050917712906471665,94,1,44236978.52941176,60,-12610333.691489361,0,140.21052631578948,75,3307.4583333333335,70,SANTIAGO ORIENTE,94,392.0,0.5765323567117367,0.4695298022444003,883679998.0,574504909.0,1.3614555110631656
392,393,0.04597489027557291,90,0,266620198.07407406,36,136863842.24444443,0,333.9,60,7778.777777777777,45,SANTIAGO CENTRO,90,393.0,0.27337245304018953,0.4882310595165469,4280974068.0,10855533826.0,0.37622087709717633
393,394,0.017826759734716,70,0,62406476.5,64,9483437.7,0,169.4,65,3777.5625,38,SANTIAGO PONIENTE,70,394.0,0.003072268661414642,0.29826370373777417,1720457.0,237287453.0,0.0030817365841448456
394,395,0.05013048716615001,67,0,8537364.56521739,44,4468162.731343283,0,244.6,52,3172.6111111111113,49,SANTIAGO ORIENTE,67,395.0,0.4204345835072948,0.5843229241354286,47216731.0,91494881.0,0.7254307650922208
395,396,0.02548204869098664,60,0,79407781.5,56,755067.6666666666,0,387.0,59,2141.5,50,11RA UNIDAD REGIONAL COYHAIQUE,60,396.0,9.543929672767378e-09,0.3349093482006824,2.0,105523500.0,9.543929763853973e-09
396,397,0.027686262186951492,57,0,38233673.384615384,31,-26404649.63157895,0,122.53333333333333,42,3285.823529411765,40,SANTIAGO ORIENTE,57,397.0,0.24582826579837946,0.40915046828803747,113263147.0,240620827.0,0.3259579412089974
397,398,0.029418815941202762,56,0,52404266.78571428,42,9426075.642857144,0,54.45454545454545,45,7364.907407407408,2,8VA UNIDAD REGIONAL BIO BIO,56,398.0,0.16656450105110923,0.4260167332409154,99603064.0,369904548.0,0.19985289954792718
398,399,0.03881975146475091,56,0,7548844.75,48,56965.66071428572,0,288.8,51,4068.5,52,SANTIAGO SUR,56,399.0,0.6863406362703759,0.5655334437655909,26263681.0,15623419.0,2.1881719968736686
399,400,0.866881470867129,56,41,346158.83636363636,1,-17833981.30357143,0,31.945454545454545,1,944.5178571428571,0,SANTIAGO CENTRO,56,400.0,0.2132030555185932,0.002281694476693198,656725107.0,5542458.0,0.270975957664807
