RUT_SOCIEDAD,CAPITAL,UTILIDADES
fzEhtXWubvc6HNTUkXLWYQ==,92.5,92.5
2PgSC6AljOEDfJ6i/ZFCdA==,92.27999999999999,92.27999999999999
gVfxHO23AYeI2NU5ImLlxw==,90.0,100.0
3oB6VqJu0WIpdU4uvgnfDA==,92.0,92.0
TVpxv977mmNuc9MFRSDrKw==,90.0,90.0
hVKcVc7nwrGX6zLVABXbFA==,90.0,90.0
eKySsCGNkV+yEG+LEe9OIQ==,90.0,90.0
GvDzudNCby+cFmxZunarGg==,90.0,90.0
4g8XTLTln+ekicityiViUg==,109.0,100.0
wt8ELzKMlP+nbtu1xZWujg==,92.0,92.0
4ULyStRYPrRuhmStvCeA3A==,90.0,90.0
g9QqJWDxBCHo0qv3C6OUdA==,90.0,90.0
6VLy+BglJXQ/XV0f1Smbjg==,90.0,90.0
VRCRk78lsO5weXzxaXeYhQ==,110.0,110.0
S8pe+DH9Lc8uuexP6p7TAw==,94.0,94.0
8M96UZ1O5STOA0G2VrZecw==,109.0,109.0
JRUQ2EEAJY9/nOwauA4PRw==,90.0,90.0
oFHE5ZdqYTw7woFUVBSESg==,91.0,91.0
dUNfMudn3UycjinckbQjvg==,90.0,90.0
FNB44Z5TKNqHF4TYxGZeiw==,110.0,100.0
3L0eR3jyQNKZsw88ubSjkA==,109.18,100.0
YuZBVc/f4gFpGxhzxZlZXQ==,106.63,106.63
h8o8KNJqrH7PWMjPVcayQA==,93.96999999999998,93.96999999999998
g0+u4elgivZeFM80F/l5qQ==,91.0,91.0
sNSt8q09BKdO6s4/uuONwg==,90.0,90.0
fXACa866kn8Xl6/M6OLE4Q==,90.0,90.0
1FA7uOubZW2YFrK+aX6IHg==,91.0,91.0
pwq7pnRYjWsXE385mBOqWg==,90.1,100.0
fZX6YPopxe4qawIEg+aN0Q==,90.0,90.0
8q/IGnKIjdnQrDrYIxBVLA==,90.0,90.0
J3+iEML6DHUc1DqE5JfJaw==,94.97,94.97
uaQwfQgQd6JM/vtRm54pSg==,90.0,90.0
4ZQa6jLSYmWQdhcRQKnyvQ==,90.0,100.0
48+han4qEYnuB4NqV4Rp0g==,92.02999999999999,92.02999999999999
tIuYfhjq5Cnu/EOzddrXZQ==,90.0,90.0
Omd8QUh7flj8hW6XTTqKJA==,90.0,90.0
S/PP/nPR/bmPk57+oerBtg==,92.5,92.5
2TOFC/7MrJKEhKymV9zkZg==,110.0,110.0
qt3kWUO/zPPE+ZlYyiz3KA==,90.0,90.0
p4CAwCsEQPkwb6b6fp560Q==,90.0,90.0
SVo/uNT6SwZ8T0MMJAtJlg==,90.0,90.0
jhtvbmb/zoKasfjU9evVeQ==,93.07,93.07
mDJg7L2AR3/3/q0fE8CBdw==,91.0,100.0
lDjc5XUbQq1SE3vihpyr/g==,109.0,100.0
3rkFQ2Ujq2cEr+BtZT3izw==,91.0,91.0
vaxSbzJbpCUBmEI598Bftw==,92.31,92.31
kNcgXB622EAjJgEPTmxxrA==,109.0,109.0
63MuWqYR+dBAld0aZjmrrA==,94.20000000000002,94.20000000000002
SeR5d122WZMaVsyLlhH+dg==,90.0,90.0
7K0LeBxGAot78lR2kjDHpg==,91.0,91.0
8VANEvs1ka0YY3OuxNC3Zw==,91.67000000000002,91.67000000000002
8Ds/sXVomhbbjsZBhSdBjA==,92.5,92.5
kcZJe8WArkU10NEB1HpmBw==,110.0,110.0
w9eigFRIsFLVNdHsDkBdcQ==,90.0,90.0
